"name","slug","sources","category","ecosystems","signal_trace"
"Atomic DLO","atomic-dlo","footbagmoves","A","atomic|dlo-double-down","modifiers=atomic;stack_depth=1"
"Double Over Down","double-over-down","footbagmoves","A","dlo-double-down","stack_depth=1"
"Down Double Down","down-double-down","footbagmoves","A","dlo-double-down","stack_depth=1"
"DSO","dso","passback","A","dlo-double-down","stack_depth=0"
"Fairy DLO (ss)","fairy-dlo","passback","A","fairy|dlo-double-down","paren_kind=directional-qualifier;modifiers=fairy;stack_depth=2"
"Gyro DLO","gyro-dlo","footbagmoves","A","gyro-spyro|dlo-double-down","modifiers=gyro;stack_depth=1"
"Pdx DLO","pdx-dlo","footbagmoves","A","dlo-double-down","stack_depth=0"
"Pixie DSO","pixie-dso","passback","A","pixie|dlo-double-down","modifiers=pixie;stack_depth=1"
"Spinning Pdx DLO","spinning-pdx-dlo","footbagmoves","A","spinning|dlo-double-down","modifiers=spinning;stack_depth=1"
"Spinning Symposium Down Double Down","spinning-symposium-down-double-down","fborg","C","symposium|spinning|dlo-double-down","stack_depth=3;modifiers=spinning|symposium;directionals=double"
"Stepping Ducking DLO","stepping-ducking-dlo","footbagmoves","A","ducking|stepping|dlo-double-down","modifiers=ducking|stepping;stack_depth=2"
"Symposium Down Double Down","symposium-down-double-down","footbagmoves","A","symposium|dlo-double-down","modifiers=symposium;stack_depth=2"
"Atomic Double Over Down","atomic-double-over-down","footbagmoves","A","atomic|dlo-double-down","modifiers=atomic;stack_depth=2"
"Atomic os Symposium Double Over Down","atomic-os-symposium-double-over-down","footbagmoves","C","symposium|atomic|dlo-double-down","stack_depth=3;modifiers=atomic|symposium;directionals=double"
"Barraging ss Double Double Down","barraging-ss-double-double-down","footbagmoves","C","dlo-double-down","stack_depth=3;modifiers=barraging;directionals=double|ss"
"Clipper set ss Double Over Down","clipper-set-ss-double-over-down","footbagmoves","A","dlo-double-down","stack_depth=2"
"Clipper set ss Symposium Double Over Down","clipper-set-ss-symposium-double-over-down","footbagmoves","C","symposium|dlo-double-down","stack_depth=3;modifiers=symposium;directionals=double|ss"
"Diving Down Double Down","diving-down-double-down","footbagmoves","A","dlo-double-down","stack_depth=1"
"Double Over Downing Osis","double-over-downing-osis","footbagmoves","A","dlo-double-down","stack_depth=1"
"Fairy Spinning Double Over Down","fairy-spinning-double-over-down","footbagmoves","C","fairy|spinning|dlo-double-down","stack_depth=3;modifiers=fairy|spinning;directionals=double"
"Far Double Over Down","far-double-over-down","footbagmoves","A","dlo-double-down","stack_depth=2"
"Flailing ss Symposium Double Over Down","flailing-ss-symposium-double-over-down","footbagmoves","C","symposium|dlo-double-down","stack_depth=3;modifiers=symposium;directionals=double|ss"
"Gyro Double Over Down","gyro-double-over-down","footbagmoves","A","gyro-spyro|dlo-double-down","modifiers=gyro;stack_depth=2"
"Miraging Symposium Double Over Down","miraging-symposium-double-over-down","footbagmoves","C","symposium|dlo-double-down","stack_depth=3;modifiers=miraging|symposium;directionals=double"
"Nuclear Double Over Down","nuclear-double-over-down","footbagmoves","D","dlo-double-down|blurry-furious","doctrine_tokens=nuclear"
"Pixie Quantum Double Over Down Swirl","pixie-quantum-double-over-down-swirl","footbagmoves","C","pixie|quantum|whirl-swirl|dlo-double-down","stack_depth=3;modifiers=pixie|quantum;directionals=double"
"Pixie Spinning Double Over Down","pixie-spinning-double-over-down","footbagmoves","C","pixie|spinning|dlo-double-down","stack_depth=3;modifiers=pixie|spinning;directionals=double"
"Pixie ss Double Over Down","pixie-ss-double-over-down","footbagmoves","C","pixie|dlo-double-down","stack_depth=3;modifiers=pixie;directionals=double|ss"
"Quantum Double Over Down","quantum-double-over-down","footbagmoves","A","quantum|dlo-double-down","modifiers=quantum;stack_depth=2"
"Spinning Ducking Symposium Double Over Down","spinning-ducking-symposium-double-over-down","footbagmoves","C","ducking|symposium|spinning|dlo-double-down","stack_depth=4;modifiers=ducking|spinning|symposium;directionals=double"
"Spinning Symposium Double Over Down","spinning-symposium-double-over-down","footbagmoves","C","symposium|spinning|dlo-double-down","stack_depth=3;modifiers=spinning|symposium;directionals=double"
"Stepping Double Over Down","stepping-double-over-down","footbagmoves","A","stepping|dlo-double-down","modifiers=stepping;stack_depth=2"
"Stepping Ducking Far Double Over Down","stepping-ducking-far-double-over-down","footbagmoves","C","ducking|stepping|dlo-double-down","stack_depth=4;modifiers=ducking|stepping;directionals=double|far"
"Symposium Double Over Down","symposium-double-over-down","footbagmoves","A","symposium|dlo-double-down","modifiers=symposium;stack_depth=2"
"Tapping Double Over Down","tapping-double-over-down","footbagmoves","A","dlo-double-down","modifiers=tapping;stack_depth=2"
"Toe set os Double Over Down","toe-set-os-double-over-down","footbagmoves","A","dlo-double-down","stack_depth=1"
"Toe set os Double Over Down Dragon","toe-set-os-double-over-down-dragon","footbagmoves","A","dlo-double-down|dragon-rake","stack_depth=1"
"Toe set os Double Over Down Flapper","toe-set-os-double-over-down-flapper","footbagmoves","A","dlo-double-down","stack_depth=1"
"Toe set os Double Over Downing Osis","toe-set-os-double-over-downing-osis","footbagmoves","A","dlo-double-down","stack_depth=1"
"Toe set Spinning Double Over Down","toe-set-spinning-double-over-down","footbagmoves","A","spinning|dlo-double-down","modifiers=spinning;stack_depth=2"
"Blurrier (Stepping Down Double Down)","blurrier-stepping-down-double-down","fborg","D","stepping|dlo-double-down","doctrine_tokens=blurrier"
"Bullwhip (Spyro Double Down)","bullwhip-spyro-double-down","fborg","B","gyro-spyro|dlo-double-down","match=folk-name-with-parenthetical-reading"
"Down Diver (Diving Down Double-Down)","down-diver-diving-down-double-down","fborg","B","dlo-double-down","match=folk-name-with-parenthetical-reading"
"Fusion (Atomic Double Over Down)","fusion-atomic-double-over-down","fborg","B","atomic|dlo-double-down","match=folk-name-with-parenthetical-reading"
"Plasma (Quantum Double Over Down)","plasma-quantum-double-over-down","fborg","B","quantum|dlo-double-down","match=folk-name-with-parenthetical-reading"
"Scorpion's Tail (Spinning Down Double-Down)","scorpions-tail-spinning-down-double-down","fborg","B","spinning|dlo-double-down","match=folk-name-with-parenthetical-reading"
"Shooting Star (Shooting Double Over Down)","shooting-star-shooting-double-over-down","fborg","D","dlo-double-down|shooting","doctrine_tokens=shooting"
"Atomic DSO","atomic-dso","passback","A","atomic|dlo-double-down","modifiers=atomic;stack_depth=1"
"Atomic Ducking far Double Down","atomic-ducking-far-double-down","passback","C","ducking|atomic|dlo-double-down","stack_depth=4;modifiers=atomic|ducking;directionals=double|far"
"Atomic far DLO","atomic-far-dlo","passback","A","atomic|dlo-double-down","modifiers=atomic;stack_depth=2"
"Atomic far Double Down","atomic-far-double-down","passback","C","atomic|dlo-double-down","stack_depth=3;modifiers=atomic;directionals=double|far"
